  0.000    1.142828    1.142828    1.142828    1.142828    1.142828    1.142828    1.142828    1.142828
  0.000    1.158755    1.143869    1.128745    1.132221    1.139039    1.148588    1.112795    1.172039
  1.000    1.185550    1.132556    1.127266    1.144054    1.156935    1.131915    1.135374    1.207563
  2.000    1.214885    1.109923    1.116956    1.154606    1.175289    1.113268    1.134942    1.235008
  3.000    1.241415    1.090633    1.097246    1.161116    1.171321    1.095706    1.120910    1.276154
  4.000    1.282500    1.068350    1.080375    1.179091    1.134421    1.087701    1.108926    1.316942
  5.000    1.314712    1.044765    1.076805    1.197763    1.093172    1.097805    1.111435    1.358028
  6.000    1.338298    1.031243    1.078720    1.206271    1.047764    1.124981    1.109183    1.392018
  7.000    1.357080    1.029429    1.081918    1.214145    1.072923    1.083153    1.106867    1.414856
  8.000    1.363810    1.039310    1.087248    1.217386    1.096495    1.071769    1.098681    1.416243
  9.000    1.369591    1.059128    1.101103    1.218110    1.159459    1.111826    1.076580    1.421137
 10.000    1.369847    1.084162    1.128098    1.218546    1.174630    1.159118    1.045502    1.423919
 11.000    1.361928    1.107659    1.165710    1.215187    1.148042    1.161424    1.014852    1.422568
 12.000    1.350511    1.125645    1.208754    1.197863    1.106038    1.157170    1.002145    1.422815
 13.000    1.314113    1.136383    1.251749    1.169227    1.086604    1.138889    1.018748    1.431153
 14.000    1.253332    1.141454    1.291287    1.131052    1.097606    1.121662    1.059621    1.441493
 15.000    1.185308    1.142112    1.319131    1.094854    1.139587    1.102985    1.113642    1.431514
 16.000    1.116676    1.137976    1.322909    1.073431    1.185544    1.034395    1.168117    1.397034
 17.000    1.038931    1.136099    1.299743    1.075189    1.195369    0.892652    1.202313    1.341910
 18.000    0.973860    1.142262    1.248757    1.091616    1.157922    0.862309    1.201292    1.273032
 19.000    0.945445    1.158383    1.164129    1.117795    1.094230    0.976372    1.168001    1.219594
 20.000    0.961637    1.183242    1.063974    1.150774    1.028272    1.184943    1.110773    1.182737
 21.000    1.047300    1.212906    0.999322    1.185302    0.994922    1.398831    1.046718    1.154577
